Source,County,Total Emissions (MT CO2e),Fossil CO2 (MT CO2),Methane (MT CO2e),Nitrous Oxide (MT CO2e),"Location (Latitude, Longitude) "
King County Solid Waste Cedar Hills Landfill - Maple Valley,King,63395,145,63250,0,"(47.462625, -122.046025)"
Land Recovery Landfill Industrial - Graham,Pierce,83094,0,83094,0,"(46.972405, -122.292799)"
Linde Gas North America LLC - Anacortes,Skagit,59516,59516,0,0,"(48.467646, -122.554343)"
Linear Technology Corporation - Camas,Clark,33622,1803,1,1236,"(45.598844, -122.45232)"
"Longview Fibre Paper and Packaging, Inc/KapStone Kraft - Longview",Cowlitz,1708673,135500,1387,5954,"(46.10361, -122.92167)"
McCain Foods - Othello,Adams,77566,38078,39467,21,"(46.840102, -119.172705)"
Michelsen Packaging - Yakima,Yakima,9296,9286,5,5,"(46.604058, -120.513015)"
Moses Lake Facility of Basic American Foods - Moses Lake,Grant,31063,31031,15,17,"(47.075183, -119.220408)"
Naval Air Station Whidbey Island - Oak Harbor,Island,13388,13373,7,8,"(48.345281, -122.669741)"
Naval Base Kitsap - Bremerton,Kitsap,42287,42241,21,26,"(47.557047, -122.645933)"
Naval Base Kitsap Bangor - Silverdale,Kitsap,20166,20142,10,13,"(47.699284, -122.696926)"
Nippon Dynawave - Longview,Cowlitz,1502988,351866,1723,6170,"(46.130495, -122.983637)"
Nippon Paper Industries USA Co LTD (NPI USA) - Port Angeles,Clallam,223631,1633,4767,2460,"(48.134623, -123.467524)"
Northwest Hardwoods Inc. - Centralia,Lewis,13572,0,19,105,"(46.734454, -122.991963)"
Northwest Hardwoods Inc. - Longview,Cowlitz,16772,0,24,130,"(46.114537, -122.916806)"
Northwest Hardwoods Inc. - Mount Vernon,Skagit,11648,3827,17,90,"(48.451642, -122.443028)"
Northwest Pipeline C/S - Chehalis,Lewis,29670,28001,1654,16,"(46.533325, -122.87373)"
Northwest Pipeline C/S - Goldendale,Klickitat,12873,10588,2280,6,"(45.771216, -120.799267)"
Northwest Pipeline C/S - Mount Vernon,Skagit,65776,63063,2678,35,"(48.421967, -122.21547)"
Northwest Pipeline C/S - Snohomish,Snohomish,66543,65853,653,37,"(47.78825, -122.05859)"
Northwest Pipeline C/S - Sumas,Whatcom,109422,104002,5362,58,"(49.001, -122.2214)"
Northwest Pipeline C/S - Sumner,Pierce,50469,50142,299,28,"(47.228986, -122.209551)"
Northwest Pipeline C/S - Washougal,Clark,15534,12862,2666,7,"(45.63236, -122.36516)"
Northwest Pipeline Roosevelt C/S - Bickleton,Klickitat,13756,9418,4333,5,"(45.849504, -120.08083)"
Northwest Pipeline Willard C/S - Cook,Skamania,12443,10325,2113,6,"(45.778087, -121.626311)"
"Nucor Steel Seattle, Inc, - Seattle",King,115173,115128,20,24,"(47.569331, -122.367332)"
Olympic Panel Products LLC - Shelton,Mason,41324,140,78,465,"(47.213448, -123.096517)"
Owens-Brockway Glass Container Inc Plant #02 - Kalama,Cowlitz,22223,22207,7,9,"(46.031656, -122.866241)"
PacifiCorp Energy - Chehalis Generating Facility - Chehalis,Lewis,445152,444700,206,246,"(46.6226, -122.9145)"
Paramount Petroleum - Seattle,King,13688,13665,16,7,"(47.781642, -122.395299)"
Phillips 66 Ferndale Refinery - Ferndale,Whatcom,747276,744011,1419,1846,"(48.830142, -122.692114)"
Ponderay Newsprint Company - Usk,Pend Oreille,44680,2452,83,483,"(48.289771, -117.271359)"
Port Townsend Paper Corporation - Port Townsend,Jefferson,572693,66373,578,2608,"(48.093793, -122.796806)"
Puget Sound Energy - Encogen Generating Station - Bellingham,Whatcom,143119,142974,66,79,"(48.746, -122.486)"
Puget Sound Energy - Ferndale Generating Station - Ferndale,Whatcom,405726,405316,187,223,"(48.828707, -122.685533)"
Puget Sound Energy - Frederickson Generating Station - Tacoma,Pierce,17052,17034,8,10,"(47.079716, -122.364711)"
Puget Sound Energy - Fredonia Generating Station - Mount Vernon,Skagit,115727,115607,55,66,"(48.4553, -122.435)"
Puget Sound Energy - Goldendale Generating Station - Goldendale,Klickitat,551705,551145,256,305,"(45.8114, -120.833)"
Puget Sound Energy - Mint Farm Generating Station - Longview,Cowlitz,685789,685093,318,379,"(46.140095, -122.985138)"
Puget Sound Energy - Sumas Generating Station - Sumas,Whatcom,282703,282416,131,156,"(48.9905, -122.2733)"
Puget Sound Energy - Whitehorn Generating Station - Blaine,Whatcom,37884,37844,18,22,"(48.885475, -122.724299)"
"Rainier Veneer, Inc. - Spanaway",Pierce,17378,1127,31,184,"(47.062059, -122.318981)"
REC Silicon - Moses Lake,Grant,114372,114254,54,64,"(47.138359, -119.200383)"
REG Grays Harbor LLC - Hoquiam,Grays Harbor,13806,13792,7,8,"(46.968196, -123.853622)"
River Road Generating Plant - Vancouver,Clark,708077,707359,328,391,"(45.64958, -122.724806)"
RockTenn Tacoma Mill - Tacoma,Pierce,1135442,116998,1154,5336,"(47.260953, -122.421765)"
Roosevelt Regional Landfill - Roosevelt,Klickitat,248507,189,248318,1,"(45.807146, -120.179785)"
SDS Lumber Company - Bingen,Klickitat,34173,74,65,385,"(45.713913, -121.468688)"
Seattle-Tacoma International Airport - Seattle,King,13660,13645,7,8,"(47.443643, -122.302452)"
"SEH America, Inc - Vancouver",Clark,9615,9605,5,5,"(45.649912, -122.553612)"
SGL Automotive Carbon Fibers LLC - Moses Lake,Grant,12338,12326,6,7,"(47.208993, -119.285437)"
Shell Puget Sound Refinery - Anacortes,Skagit,1946151,1935309,6480,4362,"(48.470931, -122.559161)"
Sierra Pacific Industries - Aberdeen,Grays Harbor,249544,317,472,2813,"(46.971875, -123.775526)"
Sierra Pacific Industries - Burlington Division - Mount Vernon,Skagit,307168,1771,579,3448,"(48.448553, -122.434613)"
Sierra Pacific Industries - Centralia,Lewis,40254,0,76,454,"(46.756413, -122.995433)"
Simplot Feeders LTD. - Burbank,Walla Walla,29065,0,2077,26988,"(46.133131, -118.90629)"
"Solvay Chemicals, Inc. - Longview",Cowlitz,44254,44254,0,0,"(46.137218, -122.982847)"
Sonoco Products Company - Sumner,Pierce,11464,11452,6,7,"(47.210641, -122.239474)"
Spectrum Glass Company - Woodinville,King,10750,10740,5,5,"(47.777004, -122.148978)"
Spokane Waste to Energy Facility - Spokane,Spokane,226238,99530,1944,3041,"(47.626529, -117.504278)"
Starbucks Kent Flexible Plant - Kent,King,13542,13529,6,7,"(47.436276, -122.237648)"
Tacoma City Solid Waste Facility - Tacoma,Pierce,14812,0,14812,0,"(47.223413, -122.499775)"
Terrace Heights Landfill - Yakima,Yakima,109385,26,109359,0,"(46.610031, -120.39408)"
Tesoro Refining & Marketing Company LLC - Anacortes,Skagit,1280696,1275098,2387,3212,"(48.493816, -122.564845)"
